,,W_A_306,Turns,Turnarounds / Turnouts,Terrain,Roads,1095625.090912,,,,,,,,,,
,,W_A_307,Access,Access Roads,Terrain,Off Road,104006.103396,,,,,,,,,,
,,W_A_308,OffsiteRoads,Off site Road Repairs ,Offsite,Off Road,5148344.766766,,,,,,,,,,
,,W_A_309,Timber,Timber Removal,Terrain,,0,,,,,,,,,,
,,W_A_310,CB,Crane Breakdowns/Travel,Terrain,,3592751.603293,,,,,,,,,,
,,W_A_311,Cranes,Number of Cranes,Terrain,,6650219.445136,,,,,,,,,,
,,W_A_312,OHCollection,"Overhead Collection, Electrical",Terrain,Collection,0,,,,,,,,,,
,,W_A_313,Bores,Horizonal Boring,Terrain,Collection,7785166.12646,,,,,,,,,,
,,W_A_314,Drains,Drainage Tile repair Work,Terrain,Collection,1048776.888993,,,,,,,,,,
,,W_A_315,,Soils Impacts:,,,,,,,,,,,,,
,,W_A_316,Civil,Civil Work,Soils,,4153940.144242,,,,,,,,,,
,,W_A_317,Pads,Crane Pads,Soils,,12748785.997586,,,,,,,,,,
,,W_A_318,SoilsR,Roads,Soils,Roads,4270594.297039,,,,,,,,,,
,,W_A_319,SoilsF,Foundations: Soils,Soils,,4770846.573022,,,,,,,,,,
,,W_A_320,Foundations,Foundations: Concrete ,Soils,,32773411.789718,,,,,,,,,,
,,W_A_321,SoilsCP,WTG Crane Pads,Soils,,6316738.372677,,,,,,,,,,
,,W_A_322,Trench,Collection Cable / Trenching / Eng Fill,Soils,Collection,20408712.475895,,,,,,,,,,
,,W_A_323,,Scope:,,,,,,,,,,,,,
,,W_A_324,Tline,Transmission (Length/Pole Type/kV),Tline,,0,,,,,,,,,,
,,W_A_325,TUB,Transmission (Underbuild),Tline,,0,,,,,,,,,,
,,W_A_326,TUG,Transmission (Underground),Tline,,0,,,,,,,,,,
,,W_A_327,Special,Special Equipment - Cap Banks/Reactor/etc.,Scope,,52480.483347,,,,,,,,,,
,,W_A_328,Switch,Interconnect Switchyard,SW,,0,,,,,,,,,,
,,W_A_329,Winter,Winter Build,Scope,,124386.137779,,,,,,,,,,
,,W_A_330,WTGOptions,WTG Options - (Cold Weather/Reactive Power),Scope,,0,,,,,,,,,,
,,W_A_331,Wind,Contingency / Wind Days,Scope,,544568.75,,,,,,,,,,
,,W_A_332,O&M,O & M Building,Scope,,2482397.901459,,,,,,,,,,
,,W_A_333,LBC,Load Bank Commissioning,Scope,,1039312.314371,,,,,,,,,,
,,W_A_334,Micro,Micro. Radio & T1 Multiplex Equip.,Scope,,444000,,,,,,,,,,
,,W_A_335,,Union Labor (Rates & Productivity),Scope,Run Model for results,,,,,,,,,,,
,,W_A_336,,Other:,,,,,,,,,,,,,
,,W_A_337,Eng,Engineering,Price,,1679982.585338,,,,,,,,,,
,,W_A_338,Xfmr,Transformer,Price,,13354673.115,,,,,,,,,,
