
,W_A_41,W_ER_53,Calc,Safe Harbor Module Manufacturer,Jinko,Jinko,Jinko,Jinko,Jinko,Jinko,Jinko,Jinko,Jinko,Jinko,,Jinko,,,,OMNI system,Early Stage,B44,,,,,,,,,,,
,,W_ER_345,Calc,Safe Harbor Module Series,72MG7,72MG7,72MG7,72MG7,72MG7,72MG7,72MG7,72MG7,72MG7,72MG7,,72MG7,,,,,,,,,,,,,,,,,
,,W_ER_346,Calc,Safe Harbor Panel Type,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,,MC,,,,,,,,,,,,,,,,,
,,W_ER_347,Calc,Safe Harbor Panel Face,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,,MF,,,,,,,,,,,,,,,,,
,W_A_42,W_ER_54,Calc,Safe Harbor Module Wp,390,390,390,390,390,390,390,390,390,390,,390,,,,OMNI system,Early Stage,B45,Secondary Module (Wp),,,,,,,,,,
,W_A_766,W_ER_55,Calc,Safe Harbor Module Manufacturer & Size,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,Jinko_72MG7_MC_MF_390,,Jinko_72MG7_MC_MF_390,,LOCK,,Calculation,Early Stage,B46,,,,,,,,,,,
,W_A_44,W_ER_56,Calc,Safe Harbor Module Price ($/Wdc),0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.385,,0.385,,,,Calculation,Early Stage,B47,Secondary Module Pricing ($/Wdc),,,,,,,,,,
,W_A_34,W_ER_75,Calc,Module Manufacturer,Blended,Blended,Blended,Blended,Blended,Blended,Blended,Blended,Blended,Blended,,Blended,,LOCK,,Calculation,Early Stage,B37,Estimated Module Manufacturer,,,,,,,,,,
,W_A_35,W_ER_57,Calc,Module Wp,570,570,555,570,570,555,570,570,570,570,,545,,,,Calculation,Early Stage,B38,,,,,,,,,,,
,W_A_36,W_ER_58,Calc,Module Manufacturer & Size,BYD_NLBK36_MC_BF_570,BYD_NLBK36_MC_BF_570,BYD_NLBK36_MC_BF_555,BYD_NLBK36_MC_BF_570,BYD_NLBK36_MC_BF_570,BYD_MLTK_MC_BF_555,BYD_NLBK36_MC_BF_570,BYD_NLBK36_MC_BF_570,BYD_NLBK36_MC_BF_570,BYD_NLBK36_MC_BF_570,,BYD_MLTK_MC_BF_545,,,,Calculation,Early Stage,B39,,,,,,,,,,,
